ts_utc,balance,equity,margin,margin_free,leverage,profit
2025-12-01 12:55:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 12:56:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 12:57:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 12:58:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 12:59:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:00:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:01:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:02:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:03:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:04:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:05:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:06:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:07:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:08:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:09:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:10:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:11:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:12:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:13:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:14:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:15:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:16:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:17:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:18:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:19:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:20:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:21:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:22:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:23:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:24:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:25:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:26:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:27:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:28:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:29:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:30:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:31:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:32:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:33:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:34:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:35:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:36:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:37:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:38:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:39:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:40:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:41:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:42:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:43:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:44:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:45:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:46:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:47:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:48:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:49:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:50:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:51:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:52:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:53:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:54:49,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:55:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:56:50,90.76,90.76,0.0,90.76,100,0.0
